id etudiant;reussite;note de smestre1;heures-etudie;absences;age
S0001;yes;8.21;1.4272028160094543;12.130797300454098;16
S0002;yes;19.02;4.81361151752838;5.198631849060185;20
S0003;yes;15.08;1.2409077796011898;9.252287214359072;20
S0004;yes;12.8;2.1906011102731218;14.263976488569256;16
S0005;yes;3.82;2.1922648046800166;17.86170897058375;16
S0006;no;3.82;2.28160514456086;19.1878013504168;20
S0007;no;2.49;1.657147373089637;20.061510224447822;18
S0008;yes;17.68;4.132645723694789;9.026413372470266;17
S0009;yes;12.25;1.4899914478639569;14.184482525486494;16
S0010;yes;14.59;3.539626636612651;15.157348528139352;19
S0011;no;1.17;1.4953841068232698;21.38732082425213;17
S0012;yes;19.29;1.2821425503718262;6.180290902962184;19
S0013;yes;16.88;4.6377180147435055;11.924356302562927;16
S0014;yes;4.39;1.7605150652748227;17.041131636994642;18
S0015;yes;3.87;4.285000618238817;12.749235640124953;18
S0016;yes;4.24;3.178523484428544;14.920546601384686;17
S0017;yes;6.42;1.3114260784350784;11.707815386505033;20
S0018;yes;11.03;4.82179276575227;11.806779372724918;20
S0019;yes;8.89;1.98784466796757;11.141981436204794;16
S0020;yes;6.05;4.438581381410426;17.805511148446392;17
S0021;yes;13.03;1.6752400231382567;13.19787336512224;19
S0022;yes;3.51;4.415771528567412;24.9298099313781;18
S0023;yes;6.51;1.052915251621176;13.017647397535;17
S0024;yes;7.48;3.0471218262779227;11.11171470516203;20
S0025;yes;9.46;4.077770317686227;15.111980830383937;18
S0026;yes;15.94;4.739182069971133;9.838709796839147;19
S0027;yes;4.38;4.636808544825948;19.13914077954996;16
S0028;yes;10.84;4.27849947819058;11.972642593119112;20
S0029;yes;12.04;4.552765398645216;9.041968314888813;19
S0030;yes;1.71;1.796878743348306;23.71823675980263;18
S0031;yes;12.33;2.136737182846915;10.622661959749593;17
S0032;no;4.72;2.155874099684234;18.346972728597606;19
S0033;yes;2.15;2.508215724006796;18.822054616535684;20
S0034;yes;18.71;2.573282681540755;5.805338858580946;17
S0035;yes;19.6;3.178221298618702;7.193065642156867;17
S0036;yes;15.98;1.6395190534657655;9.143503596913114;20
S0037;yes;6.79;3.764986655143957;16.34624859275275;19
S0038;yes;2.19;1.670266157218026;16.231217927941522;18
S0039;yes;13.58;2.24123392841819;9.5448959851391;19
S0040;yes;9.37;3.013380522424616;13.396444366737086;19
S0041;yes;3.46;4.185762246093909;21.499353573615;17
S0042;yes;10.42;3.957876932954909;14.137766844002918;16
S0043;yes;1.53;3.582137425642089;17.28048493381781;16
S0044;yes;18.18;1.6230930423206806;7.402603038606948;16
S0045;yes;5.41;3.188181382462311;14.792946579026925;17
S0046;yes;13.35;1.3497860071995418;6.474039089313671;20
S0047;yes;6.73;2.509452707186603;13.11745753074856;19
S0048;yes;11.16;2.6540661211598366;12.616168864555746;16
S0049;yes;11.45;1.1592457577830153;13.760206584519224;19
S0050;yes;3.91;2.095952397879888;23.84212522666375;20
S0051;yes;19.52;4.822597869065957;7.089173674419456;18
S0052;yes;15.6;4.814530431318758;10.156954918326797;18
S0053;yes;18.65;2.409308217010157;6.105974067503965;16
S0054;yes;18.18;1.1724004357932962;8.08088699905656;19
S0055;yes;12.64;1.7163797573127262;12.579837939939566;18
S0056;yes;18.79;2.5688711737341605;11.772726594700195;17
S0057;yes;2.35;4.791118791876919;21.13314766966128;17
S0058;yes;4.56;1.5647962541487397;16.11360803973536;20
S0059;yes;1.87;4.0540633746728485;15.088355699648368;18
S0060;yes;7.42;1.4347301574987683;15.770521411369169;20
S0061;yes;8.19;4.925030309565107;13.836159582834313;18
S0062;yes;6.04;2.52646599643654;13.887755420726918;19
S0063;yes;16.4;4.100938155596224;10.6320940896616;20
S0064;yes;7.36;2.370364331244528;14.177606649749542;17
S0065;yes;6.52;3.510675508635235;17.98837575762891;17
S0066;yes;11.68;1.768064338960147;10.37586776034656;16
S0067;yes;3.58;1.5840840771878502;17.68378428671768;17
S0068;yes;16.53;4.752256558272525;8.223661979678354;20
S0069;yes;2.44;4.670589111617733;20.931425142949635;16
S0070;yes;19.56;4.5498757608515294;4.662723722715931;20
S0071;yes;15.77;3.501733800666374;4.16985211909342;16
S0072;yes;5.17;4.233072844865113;19.787438617475644;16
S0073;no;1.01;1.2761477476454997;20.77346840866928;20
S0074;yes;16.95;2.3391561675627166;8.208386673325798;19
S0075;yes;13.62;2.254812499028625;8.314695992105726;20
S0076;yes;15.08;3.542581287810453;11.375017152660092;19
S0077;yes;15.66;2.423831093882562;16.477608458425095;16
S0078;yes;2.24;1.5940271265747232;15.583912303246194;16
S0079;yes;7.78;3.385868301654175;13.1698309335559;17
S0080;yes;2.53;4.257535682676326;22.764169257746136;17
S0081;yes;17.33;2.5284939778398927;9.65124987365948;17
S0082;yes;12.92;1.5290748603939268;7.509194682302763;20
S0083;yes;7.67;1.7867527892512922;11.83066111213141;18
S0084;yes;1.97;1.949933220677536;16.77947262686981;17
S0085;yes;6.61;2.199590371978145;16.1642741613093;16
S0086;yes;6.97;3.5711802820252365;15.321260775100953;16
S0087;yes;15.12;3.403781938150876;10.295229560666932;17
S0088;yes;13.18;3.7843194462681566;8.412985310693728;16
